id        first_name          last_name           zip_code  
934       Joseph              Smith               4659      
935       Russell             Stewart             3690      
936       Steve               Washington          3506      
937       Roger               Alexander           2688      
938       Wayne               Green               3695      
939       Russell             Butler              3693      
940       Christopher         Torres              1595      
941       Martin              Young               4638      
942       Earl                Jackson             4314      
943       Fred                Martinez            3655      
944       Steven              Turner              2451      
945       Victor              Thompson            2637      
946       Nathan              Alexander           4015      
947       Roy                 Bailey              4551      
948       Carl                Bailey              2085      
949       Victor              Ross                1944      
950       James               Ramirez             4171      
951       Harold              Baker               1928      
952       Russell             Gonzales            3383      
953       Bruce               Butler              3576      
954       Bruce               Clark               4527      
955       Thomas              Morris              2679      
956       Arthur              Price               4357      
957       Louis               Nelson              3699      
958       Juan                Roberts             4142      
959       Brian               Long                4596      
960       Walter              Watson              2822      
961       Jimmy               Doe                 1002      
962       Douglas             Baker               2496      
963       Richard             Ward                1079      
964       Jose                Flores              4236      
965       Dale                Jackson             2833      
966       Dale                Ross                3050      
967       Juan                Brooks              1074      
968       Joshua              Sanders             3952      
969       Fred                Taylor              2667      
970       James               Murphy              2537      
971       Wayne               James               4805      
972       Walter              Hall                1153      
973       Clarence            Rogers              3811      
974       Louis               Jackson             1247      
975       Peter               Flores              4136      
976       Timothy             Martinez            3291      
977       Victor              Collins             4440      
978       Dennis              Adams               3619      
979       Alan                Collins             3022      
980       Phillip             Morris              1827      
981       Brian               Peterson            4697      
982       Donald              Jackson             2691      
983       Brian               Wilson              2585      
984       Johnny              Brooks              2248      
985       Lawrence            Ward                1473      
986       David               Bailey              4581      
987       Antonio             Ross                3195      
988       William             Butler              1902      
989       Nathan              Patterson           4777      
990       Bruce               Sanchez             2925      
991       Gerald              Long                2338      
992       Craig               Griffin             2132      
993       Joe                 Hall                3887      
994       Bryan               Clark               1067      
995       Joshua              Nelson              3469      
996       Carl                Anderson            2397      
997       Norman              Jackson             1873      
998       Joseph              Rivera              3067      
999       Chris               Simmons             1384      
